2026-01-29 14:02:06.618 [main] INFO  smartebao.guide.CrawlerApplication - Starting CrawlerApplication using Java 1.8.0_442 on qiyuzhengdeMac-mini.local with PID 91611 (/Users/qiyuzheng/Desktop/java_project/kaoyoungCrawler/target/classes started by qiyuzheng in /Users/qiyuzheng/Desktop/java_project/kaoyoungCrawler)
2026-01-29 14:02:06.621 [main] INFO  smartebao.guide.CrawlerApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-29 14:02:07.116 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-29 14:02:07.117 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-29 14:02:07.126 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
2026-01-29 14:02:07.334 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2026-01-29 14:02:07.336 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-01-29 14:02:07.337 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-29 14:02:07.337 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2026-01-29 14:02:07.422 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smarteCrawler] - Initializing Spring embedded WebApplicationContext
2026-01-29 14:02:07.422 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 757 ms
2026-01-29 14:02:07.452 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-01-29 14:02:07.708 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-01-29 14:02:08.093 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e0f9528, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5f56424d, org.springframework.security.web.context.SecurityContextPersistenceFilter@c472300, org.springframework.security.web.header.HeaderWriterFilter@3b6c2be6, org.springframework.security.web.authentication.logout.LogoutFilter@30036a18, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6826b70f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2dac2e1b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@237b2852, org.springframework.security.web.session.SessionManagementFilter@421ead7e, org.springframework.security.web.access.ExceptionTranslationFilter@48ccbb32, org.springframework.security.web.access.intercept.AuthorizationFilter@773eca84]
2026-01-29 14:02:08.399 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-01-29 14:02:08.434 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-01-29 14:02:08.443 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/smarteCrawler'
2026-01-29 14:02:08.451 [main] INFO  smartebao.guide.CrawlerApplication - Started CrawlerApplication in 2.153 seconds (JVM running for 2.55)
2026-01-29 14:02:08.679 [RMI TCP Connection(4)-192.168.30.6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/smarteCrawler] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-29 14:02:08.679 [RMI TCP Connection(4)-192.168.30.6] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-29 14:02:08.682 [RMI TCP Connection(4)-192.168.30.6] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-29 14:02:11.810 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [0], RequestId: 576f5f2a5d294d29bf2dacc64dd00bde
2026-01-29 14:02:11.812 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [0], RequestId: 1390d57787c34f648e6b4912f423eebc
2026-01-29 14:02:11.812 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 1390d57787c34f648e6b4912f423eebc
2026-01-29 14:02:11.812 [http-nio-8090-exec-1] INFO  smartebao.guide.utils.LogUtils - Exiting method: CrawlerWebSocketHandler.onClose with result: Connection closed, RequestId: 1390d57787c34f648e6b4912f423eebc
2026-01-29 14:02:16.831 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onOpen with params: [1], RequestId: 14fa05de3632468b95fe473459bdbdbd
2026-01-29 14:02:16.832 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - Entering method: CrawlerWebSocketHandler.onClose with params: [1], RequestId: 46ac1504ff5140ffad6d51587c01f748
2026-01-29 14:02:16.832 [http-nio-8090-exec-2] INFO  smartebao.guide.utils.LogUtils - WebSocket连接已关闭，但未找到对应的clientId, RequestId: 46ac1504ff5140ffad6d51587c01f748
